Geneid,featureCounts on data 282: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM),featureCounts on data 288: Counts_HISAT2 on data 26 and data 25: aligned reads (BAM),featureCounts on data 296: Counts_HISAT2 on data 34 and data 33: aligned reads (BAM),featureCounts on data 300: Counts_HISAT2 on data 38 and data 37: aligned reads (BAM),featureCounts on data 304: Counts_HISAT2 on data 42 and data 41: aligned reads (BAM),featureCounts on data 310: Counts_HISAT2 on data 48 and data 47: aligned reads (BAM),featureCounts on data 312: Counts_HISAT2 on data 50 and data 49: aligned reads (BAM),featureCounts on data 322: Counts_HISAT2 on data 60 and data 59: aligned reads (BAM)
342931,0,0,0,0,0,3,1,0
342933,4,2,4,2,8,2,0,0
342945,227,198,210,341,399,202,194,246
342977,27,32,45,37,81,24,12,27
342979,43,17,49,50,40,18,12,33
343,2,4,3,6,3,2,3,2
3430,63,86,85,141,185,124,71,90
343035,4,5,11,5,4,2,4,2
343052,0,0,0,1,0,0,0,0
343066,0,0,4,0,0,0,0,0
343068,0,0,0,0,0,0,0,0
343069,11,6,13,55,21,9,11,11
343070,0,0,0,0,0,0,0,0
343071,0,0,0,0,0,0,0,0
343099,713,726,1105,1332,1501,748,574,663
3431,437,486,462,734,900,473,372,283
343169,15,0,4,6,14,2,3,5
343171,15,28,22,19,15,20,15,10
343172,108,93,61,113,45,56,24,110
343173,0,0,0,0,0,0,0,0
343263,8,7,9,35,42,18,12,38
3433,1076,1216,1281,3090,2309,1741,1172,983
3434,1028,1808,1866,2988,3889,1680,1364,1545
343406,0,0,0,0,0,0,0,0
343413,5,9,0,3,4,3,4,1
343450,1623,2173,2238,3274,3601,1642,1474,1985
343472,0,0,0,4,0,0,0,0
343505,0,2,0,21,2,3,2,0
343521,4,4,4,0,20,8,10,4
343563,0,0,0,0,1,0,0,2
343578,4,4,6,1,4,2,1,2
343637,47,28,21,20,47,18,16,19
343641,2,2,0,0,1,0,0,0
3437,1182,1514,1336,2301,2614,1646,1155,972
343702,34,31,46,46,87,18,28,38
3439,2,8,14,2,14,5,2,17
343930,0,0,2,1,2,0,1,0
343990,1909,1887,2840,2392,4046,1301,1226,2495
344,0,0,0,0,0,0,0,0
3440,20,14,9,32,38,30,8,7
344018,1,0,0,2,2,0,2,0
344022,4,0,0,0,2,0,0,0
3441,0,1,2,0,0,0,0,0
344148,2450,2410,2568,4142,4403,3333,2011,1706
344167,0,0,0,0,0,0,0,0
344191,0,0,2,0,0,0,0,0
3442,4,4,5,3,7,6,1,9
3443,2,4,2,4,10,7,1,5
344387,90,112,154,358,290,170,163,134
3444,0,2,2,0,4,1,0,4
344405,61,85,76,118,140,84,75,84
344454,72,26,14,100,48,140,71,39
3445,4,4,1,4,1,1,0,6
344558,626,821,1120,924,1273,551,449,556
344561,31,6,10,2,14,2,6,5
344595,856,844,662,1627,1226,1146,838,926
3446,0,0,0,2,0,2,0,0
344657,10,15,35,8,43,13,8,5
344658,2,1,4,0,2,4,4,2
3447,4,12,1,3,18,7,2,4
344752,0,0,0,0,0,0,0,0
344758,64,91,103,164,99,66,66,64
344787,100,125,229,205,225,52,80,122
3448,1,0,0,0,0,2,0,3
344805,6,13,11,24,21,20,5,8
344807,0,5,0,4,4,0,0,3
344838,367,415,433,661,216,338,271,504
344875,0,3,6,2,6,1,1,1
344887,2,1,0,0,4,0,0,0
344892,0,0,0,0,0,0,0,0
3449,2,0,0,0,1,0,3,1
344901,11,32,79,132,29,30,14,28
344905,182,183,223,240,348,184,122,125
344967,16,17,23,20,32,16,12,26
345,0,0,0,0,0,0,0,0
345062,185,109,99,156,231,193,81,142
345079,106,247,418,386,393,239,117,246
3451,0,0,0,2,0,0,0,0
345193,61,44,46,74,135,104,53,71
3452,16,18,7,15,14,14,17,39
345222,59,80,152,87,162,52,60,66
345274,96,40,71,139,83,127,74,83
345275,43,59,60,160,40,59,14,55
3453,0,2,2,3,6,0,3,5
3454,3465,5249,5754,8885,7597,4163,3774,4781
345456,0,0,0,0,0,1,0,0
345462,252,355,368,693,679,404,274,297
3455,448,502,676,827,1124,491,359,476
345557,1922,4609,5096,7274,4225,2865,2524,3292
3456,2,18,11,4,16,4,3,7
345611,23,14,9,40,40,14,26,14
345630,89,145,179,191,210,112,80,98
345643,2,0,2,0,4,4,0,6
345651,6,6,2,4,0,1,0,2
345757,376,558,677,1504,753,450,441,585
345778,3297,5571,6003,9042,7965,4257,3694,4799
3458,8,9,0,18,26,26,14,27
345895,663,1254,1201,2400,1624,1124,882,1086
3459,1057,2868,2490,7036,5162,3121,2012,2380
345930,165,152,174,269,272,176,137,261
346,0,0,0,0,0,0,0,0
3460,9,26,28,41,57,10,20,16
346007,460,521,490,1005,502,407,422,430
346157,710,667,1015,1138,1346,486,490,642
346171,0,0,0,0,0,0,0,0
346288,3,0,10,2,3,2,1,2
346389,15,15,21,33,37,6,37,23
346517,1,0,0,0,0,0,0,0
346525,0,0,0,0,4,0,0,0
346528,3,18,35,14,32,13,20,10
346562,2,3,8,7,15,1,4,3
346606,0,0,0,0,0,0,0,0
346653,561,343,446,431,962,290,319,359
346673,7,4,2,8,2,5,4,2
346689,5,4,6,8,5,4,0,17
3467,8,22,15,22,34,16,18,15
347,4789,4191,4082,8882,8739,4365,3092,3768
347051,84,134,111,109,153,67,45,94
347088,0,0,1,0,2,0,0,0
347127,0,1,0,0,0,0,0,0
347148,3,1,2,4,8,3,2,2
347168,2,4,10,4,4,6,1,3
347169,4,2,8,2,10,5,7,7
347240,264,257,286,314,707,302,276,227
347252,158,204,338,324,236,166,122,243
347273,437,401,461,632,553,566,296,413
347344,1300,1816,2055,3092,2925,1877,1531,1721
347365,0,0,1,0,0,1,0,5
347404,39,133,141,234,250,115,57,97
347411,0,0,0,0,0,0,2,0
347442,6,2,7,3,5,4,2,2
347454,0,4,9,24,23,6,0,2
347468,0,0,0,0,0,0,0,0
347475,62,108,151,205,187,111,93,108
347487,2,0,0,0,0,0,0,0
3475,1452,2567,2351,3772,3630,2452,1802,2073
347516,24,12,9,21,23,21,15,15
347517,92,148,235,275,285,141,105,130
347527,0,0,0,0,0,0,1,0
347541,0,0,0,0,0,0,0,0
3476,881,1626,2135,2544,2677,1268,987,1234
347686,0,0,0,0,0,0,0,0
347688,0,4,2,3,11,0,1,4
347689,12633,11986,10145,49228,20973,16216,11202,9383
347694,0,0,7,2,5,0,0,0
347730,430,400,623,456,573,240,263,450
347731,2905,4124,3071,6954,5068,3634,2601,3387
347732,37,32,52,36,64,22,22,29
347733,1508,3736,4399,6105,6216,2070,2329,1740
347734,179,156,177,410,357,164,182,168
347735,16,6,1,8,10,5,3,18
347736,332,258,343,522,625,390,217,325
347741,0,0,0,0,1,0,1,2
347744,27,34,49,48,34,37,13,27
347745,5,9,17,14,21,10,9,10
347746,6095,8539,9225,15179,11402,7906,5689,8457
347853,1,1,8,2,6,2,1,1
347862,1099,1076,1641,1354,2266,883,736,942
3479,367,1230,1300,2236,1404,626,810,832
347902,66,91,207,236,335,190,107,135
347918,103,103,130,134,225,77,97,93
348,6959,9593,12343,13627,21341,8079,7908,5577
3480,3448,3390,5016,3967,5860,2420,1985,3221
348013,42,81,40,59,88,50,27,93
348021,0,0,0,0,0,0,0,0
348093,7,6,4,9,23,8,4,4
348094,710,649,981,783,1614,567,522,656
3481,2,1,2,4,1,8,0,0
348110,678,895,957,1622,1836,980,751,730
348120,0,6,2,6,1,3,0,2
348158,0,0,0,0,0,0,0,0
348174,2,0,3,4,14,11,3,3
348180,119,110,151,170,294,97,66,145
3482,2490,3349,3841,4259,5158,2948,2122,3076
348235,1333,2473,2524,5680,4632,2581,1698,1907
348249,0,0,0,0,0,0,0,0
348254,2042,1344,1677,2742,3715,1569,1514,1285
348262,313,352,683,506,711,271,214,316
3483,9,3,5,1,18,6,4,7
348303,2,10,4,7,10,1,3,6
348327,72,78,122,124,148,69,58,77
348378,4,0,6,3,7,3,10,6
3484,6,4,8,2,4,7,2,9
348487,28,29,58,16,80,14,10,32
3485,21,41,63,109,159,75,48,60
3486,419,625,361,955,460,421,446,445
348645,45,27,62,33,97,25,13,37
348654,420,456,548,948,646,496,443,566
3487,86,136,107,157,168,81,133,92
348738,8,0,12,10,16,0,2,4
348751,87,128,189,372,258,122,93,115
348761,1,0,7,9,10,10,2,6
348793,188,197,271,391,436,224,169,247
3488,2844,3537,3275,5494,4840,4283,3499,4000
348801,265,663,854,1017,808,412,362,518
348807,67,38,42,21,86,50,26,39
348808,3,14,25,31,61,7,15,7
348825,22,5,11,12,24,2,2,2
348840,26,59,50,65,57,31,24,57
3489,90,169,271,297,256,126,73,131
348926,54,59,89,56,119,60,54,66
348932,0,0,0,0,0,0,0,0
348938,202,97,164,360,194,173,124,107
348980,3756,5722,4485,9712,4241,4204,3040,6767
348995,761,1014,1241,2073,2084,1195,982,900
3490,861,1085,1464,1713,3352,1324,817,806
349075,1004,1305,1927,2097,2502,1204,869,995
3491,213,137,115,229,325,162,128,205
349114,164,135,262,133,353,172,127,130
349136,326,226,308,246,423,169,235,363
349149,36,49,25,33,103,39,24,37
349152,310,567,866,911,1194,398,364,465
349160,47,54,91,84,30,65,34,132
349196,3,1,1,0,3,0,0,0
3493,0,0,0,0,0,0,0,0
349334,0,4,6,6,5,6,5,2
3494,0,0,0,0,0,0,0,0
349408,0,2,0,0,1,0,1,1
3495,0,0,0,0,0,0,0,0
349565,350,375,345,549,682,318,246,334
349633,23,25,21,24,57,41,32,33
349667,171,94,170,134,274,83,75,198
3497,0,0,0,0,0,0,0,0
35,58,115,98,123,208,68,84,56
350,0,2,0,7,0,0,0,0
3500,0,0,0,0,0,0,0,0
3501,0,0,0,0,0,0,0,0
3502,0,0,0,0,0,0,0,0
3503,0,0,0,0,0,0,0,0
350383,1,2,0,4,0,3,0,9
3507,0,0,0,0,0,0,0,0
3508,332,379,536,339,703,303,252,371
351,40069,46237,51617,75005,60339,42386,30797,51612
3512,0,0,10,2,8,0,0,6
3514,4,10,3,32,7,11,5,2
3516,4491,5830,5251,12116,9872,6871,4796,4422
352887,25,21,22,20,46,11,9,26
352909,2,2,4,0,0,0,6,0
352954,3309,3129,3900,5835,5192,3113,2009,2578
352961,0,0,0,0,13,0,0,6
352999,1,2,9,1,6,2,0,2
353,60,113,182,109,235,97,72,92
353088,678,743,924,1391,1251,623,533,881
353091,32,10,20,10,32,21,9,26
353116,622,554,923,989,1394,607,395,357
353131,0,0,0,0,0,0,2,0
353132,0,0,0,0,0,0,0,0
353133,0,0,0,0,0,0,0,0
353134,0,0,3,0,0,0,0,0
353135,0,0,0,0,0,0,0,0
353137,0,0,0,0,0,0,0,0
353139,0,0,0,0,0,0,0,0
353140,0,0,0,0,0,0,0,0
353141,0,0,0,0,0,0,0,0
353142,0,0,0,0,0,0,0,0
353143,0,0,0,0,0,0,0,0
353144,0,0,0,0,0,0,0,0
353145,0,0,0,0,0,0,0,0
353149,102,42,90,42,186,52,47,102
353164,0,0,0,0,0,0,0,0
353174,8,5,17,3,6,2,4,5
353189,100,82,100,134,277,53,55,113
353219,0,2,3,0,3,0,0,0
353238,0,0,0,0,4,0,0,0
353274,2855,2850,3519,4068,5412,2635,1788,2585
353288,0,0,0,0,0,0,0,0
353299,9,3,6,4,15,5,1,10
353322,46,42,35,51,71,38,38,33
353323,0,0,0,0,0,0,0,0
353324,40,9,18,12,23,45,7,20
353332,0,0,0,0,0,0,0,0
353333,0,0,0,0,0,0,0,0
353345,22,18,27,67,39,63,59,50
353355,344,465,718,708,988,404,314,448
353376,1,3,2,1,2,2,1,1
353497,674,733,1069,1022,1616,600,518,729
353500,286,285,559,422,454,270,235,279
353511,244,141,152,146,349,109,57,73
353513,0,0,0,0,0,0,0,0
353514,0,0,0,0,0,0,0,0
353515,0,0,0,0,0,0,0,0
3537,0,0,0,0,0,0,0,0
3538,0,0,0,0,0,0,0,0
3539,0,0,0,0,0,0,4,0
354,2,0,0,1,0,0,0,0
3540,0,0,0,0,0,0,0,0
3541,0,0,0,0,0,0,0,0
3543,4,1,3,0,3,4,0,4
3547,210,422,345,458,365,408,283,221
3549,0,0,0,0,6,0,0,2
355,397,554,639,790,394,286,493,373
3550,2792,3761,4785,5998,6338,3015,2490,3195
3551,780,1115,1270,1405,2047,1103,771,899
3552,7,21,20,51,74,29,7,14
3553,11,41,42,100,94,32,27,25
3554,176,333,201,295,335,183,118,240
3556,782,1265,1215,2062,1831,1055,815,1174
3557,2,2,0,2,4,4,0,0
3558,0,0,2,0,0,0,1,0
3559,0,2,4,0,0,1,0,0
356,0,2,2,0,0,2,1,10
3560,3,3,4,8,2,3,0,2
3561,2,7,11,6,4,7,4,12
3562,3,6,2,0,10,2,0,1
3563,4,1,2,3,6,4,3,0
3565,0,0,1,4,2,0,0,2
3566,50,117,165,199,331,126,105,105
3567,51,29,24,56,44,26,16,33
3568,64,55,97,49,91,59,58,32
3569,8,0,5,12,19,18,2,5
357,806,1350,1489,1505,1872,912,610,1129
3570,235,518,459,873,825,444,355,335
3572,12075,22234,21699,46857,43077,20719,16533,15457
3574,1164,985,836,1610,951,907,577,800
3575,37,16,50,63,66,61,15,36
3576,7,78,10,16,70,47,7,8
3577,4,11,2,19,0,3,0,2
3578,11,8,16,13,15,18,12,15
3579,3,4,8,46,19,13,8,5
358,1259,795,786,1510,2386,2954,2372,2240
3580,4,3,3,16,5,8,4,2
3581,0,0,0,0,0,0,0,0
3586,0,6,7,19,25,9,6,3
3587,88,260,212,346,316,136,138,158
3588,153,235,206,379,431,197,162,221
3589,2,9,9,11,6,3,4,5
359,0,0,5,0,2,2,1,0
3590,182,135,166,198,332,158,148,113
3592,16,33,22,67,44,24,29,37
3593,8,8,11,6,12,8,8,3
3594,48,41,46,37,62,23,21,30
3595,472,680,593,729,933,556,576,1040
3596,0,0,0,0,0,0,1,0
3597,368,1213,916,3247,2502,1388,1045,944
359710,0,0,0,3,0,3,0,1
359787,1,0,0,1,0,0,0,0
3598,57,116,167,233,122,93,92,102
359806,4,4,0,5,2,0,1,2
359821,7,8,13,16,13,9,6,14
359822,5500,5823,4261,8227,4199,4114,3946,7981
359845,275,413,226,371,345,264,179,223
359948,2625,3877,3846,6620,6147,2660,2164,2996
36,2248,3430,3411,5981,5455,2655,2524,3044
360,59,61,87,103,41,40,131,74
3600,25,10,45,21,24,22,12,19
360023,3645,5682,5836,11583,9234,4962,4196,4815
360030,0,0,0,0,0,0,0,1
3601,9,28,26,32,59,16,2,20
360132,66,94,77,205,209,80,92,79
360155,0,2,0,1,6,5,2,4
360200,48,26,64,29,61,53,21,23
360203,0,1,0,0,2,0,2,4
360205,0,0,0,0,0,0,0,0
360226,0,0,0,0,0,0,0,0
3603,190,424,400,596,587,255,239,244
3604,0,1,7,4,3,3,2,7
3605,0,0,0,0,1,0,0,0
3606,13,118,122,174,248,104,72,75
3607,1594,1628,2013,2176,2762,1174,944,1548
3608,1790,2537,2891,4287,3705,2286,1794,2350
3609,3732,3770,4917,5343,7396,3336,2631,3558
361,28100,51188,46400,107355,127926,56511,74682,45687
3611,781,1050,1493,1673,2074,959,770,862
3612,1282,2491,2754,4904,4266,2060,1681,2300
3613,71,108,164,127,228,64,60,51
3614,230,372,611,404,667,276,220,369
3615,669,1227,1390,1959,1718,893,772,911
3617,54,68,58,154,119,110,55,70
3619,632,759,1122,1009,1243,519,477,609
362,13,12,12,5,15,11,12,5
3620,1,0,0,3,0,0,0,5
3621,389,496,690,792,880,364,315,389
3622,480,825,1090,1258,1374,594,496,645
3623,22,11,21,17,44,14,14,18
3624,51,56,45,81,64,36,35,62
3625,188,175,264,224,350,136,80,122
3626,5,0,1,4,2,7,0,3
3627,0,1,0,19,5,2,7,5
3628,991,948,1176,1649,1860,1120,914,911
363,24,15,74,42,75,38,41,23
3630,0,0,0,0,0,0,0,0
3631,7309,10860,15316,14762,18932,7350,6574,10558
3632,1182,1520,2574,2166,2530,1164,998,1464
3633,1083,970,1295,1732,2159,1165,817,978
3635,293,1031,978,1377,1400,839,609,469
3636,754,941,1451,1021,2276,806,602,557
3638,1492,1445,2738,5306,4029,2504,2137,2089
364,9,6,5,13,25,4,7,5
3640,0,2,0,0,8,2,2,0
3641,0,0,0,2,0,0,0,0
3642,33,40,64,98,105,44,69,49
3643,2962,3610,3685,5881,5988,2975,2410,3190
3645,3,4,3,9,7,2,10,2
3646,1935,4782,5116,7738,8769,4200,3192,3137
3651,0,0,2,0,0,0,0,0
3652,653,879,956,1297,1618,806,572,661
3653,3697,4148,3969,6133,5843,3527,2977,5068
3654,630,722,1153,1027,1762,659,495,535
3655,2808,3426,4029,6871,6361,3156,3470,3070
3656,193,182,276,366,443,226,130,160
3658,2572,4637,4045,7053,6494,3539,2908,4353
3659,92,120,113,201,205,156,84,116
366,48,86,107,126,144,70,22,65
3660,659,984,993,1831,1731,997,779,717
3661,98,172,249,171,316,125,114,95
3662,6,4,4,18,21,12,8,10
3663,44,133,129,210,263,131,94,101
3664,49,93,51,114,112,85,55,70
3665,1,2,1,2,0,0,0,2
3667,502,654,879,865,770,406,351,596
3669,58,55,63,83,81,51,59,62
367,137,161,281,282,244,222,124,184
3670,0,0,9,0,0,6,0,0
3671,42,33,61,50,243,68,66,75
3672,732,515,604,752,1256,644,390,499
3673,793,1071,749,2171,1368,1682,819,810
3674,59,56,60,98,160,45,42,32
3675,619,553,821,730,1177,451,411,679
3676,374,947,356,1319,322,585,599,1026
3678,74,118,163,191,244,135,95,81
3679,904,942,1174,889,1577,837,606,808
368,0,0,0,3,1,0,0,0
3680,510,703,859,958,1329,661,572,1050
3681,1,0,0,3,1,6,1,0
3682,81,191,245,319,520,209,139,98
3683,27,110,112,160,179,104,68,88
3684,69,514,491,917,951,456,376,254
3685,8427,13687,13406,34091,26442,12676,10753,10779
3687,46,176,325,396,544,282,237,196
3688,3729,4071,4237,9610,8322,4992,3428,3199
3689,61,299,286,663,724,387,191,116
369,190,238,297,452,511,234,185,199
3690,34,54,44,364,151,64,44,50
3691,723,875,808,1335,1987,1126,745,1026
3692,224,354,432,440,647,326,250,317
3693,558,896,1220,1445,1686,838,711,605
3694,1,0,0,6,2,2,0,0
3695,29,52,69,65,94,41,31,35
3696,7390,10405,10062,23492,23466,10735,9325,8406
3697,1,0,2,0,5,0,0,2
3698,107,97,106,286,260,160,168,167
3699,27,16,25,13,38,17,16,35
37,2056,2471,3642,3388,6671,2355,1987,1991
3700,152,158,329,160,690,194,123,151
3702,12,19,12,28,28,17,8,18
3703,1130,1844,1802,3523,3017,1886,1364,1733
3704,264,371,472,384,580,210,210,274
3705,20,44,51,38,62,17,45,117
3706,382,505,964,603,933,238,274,469
3707,3834,3360,4456,5932,9685,4682,3522,3356
3708,9812,15170,21748,20417,32067,9722,9140,17134
3709,6684,13083,15062,18999,27098,10534,8990,7616
3710,399,357,672,435,715,293,289,314
3712,1260,1373,1808,1622,2996,1338,1000,1206
3713,0,0,0,0,0,0,0,0
3714,395,324,608,436,879,257,250,361
3716,5014,8658,11676,12555,10602,6858,5780,7048
3717,1661,3107,3282,5228,5336,2957,2257,2813
3718,130,134,195,286,391,136,116,154
372,3108,5172,5708,9990,7964,4506,3688,4980
3720,1377,1522,2099,2151,3117,1363,894,1252
3725,1776,1993,3159,2402,3194,2414,1641,1392
3726,356,394,298,472,456,467,247,254
3727,1125,983,1632,1584,2733,806,742,914
3728,167,118,228,228,317,94,102,129
373,3068,6203,6227,12590,7517,4987,3802,5587
3730,2310,4335,2230,6572,4177,2992,2991,3429
373156,408,539,757,820,1356,494,383,474
3732,242,187,240,474,503,242,156,156
3735,1103,2087,2544,3685,3420,1671,1471,1728
373509,65,67,76,144,127,114,80,72
3736,1863,3956,5018,4693,3151,2092,1674,3888
3737,11218,13995,16610,20620,14712,9991,7700,14644
3738,802,1471,1991,2738,3043,917,1169,1608
373856,8,4,4,11,20,2,2,6
373861,11,2,17,12,29,8,6,20
373863,11,17,25,15,30,19,10,15
3739,813,1226,1633,2052,1600,1032,877,1344
374,5,2,2,4,10,2,0,0
3741,91,181,210,313,223,180,98,181
3742,774,840,1109,1068,1356,683,491,843
374286,34,20,44,39,44,21,29,29
374291,238,367,503,595,835,343,288,302
3743,0,0,1,2,2,0,0,1
374308,0,0,0,0,0,0,0,0
374354,1848,2417,2492,5008,4303,2395,1699,2058
374355,3,0,2,2,0,0,3,0
374378,1296,1228,2056,1777,2467,1081,941,1654
374383,1820,2130,2800,2755,2796,1437,1464,2509
374387,1,8,7,6,42,4,9,8
374393,10,13,9,9,13,13,7,8
374395,115,188,214,323,327,175,140,163
3744,1,2,2,0,0,0,2,0
374403,65,47,54,27,103,57,35,30
374407,36,18,23,48,26,26,7,19
374443,114,220,239,352,408,220,177,156
374454,0,2,0,1,0,0,0,0
374462,73,92,222,132,405,78,63,84
374470,124,161,171,228,249,106,112,151
374491,13,33,35,23,53,15,6,8
3745,7702,8724,10757,10003,10911,5548,4871,10680
374569,5,1,0,1,11,0,1,1
3746,1836,1458,2317,1869,2671,1381,1126,1963
374618,325,462,499,780,890,528,401,479
374650,34,31,50,73,159,54,29,18
374654,129,133,212,224,365,138,129,100
374655,1306,1169,2024,1444,3029,1004,824,986
374659,177,214,272,246,384,147,155,143
374666,86,119,95,166,156,83,62,87
3747,1986,7358,9079,10969,11364,4177,4077,6090
374739,2,0,6,2,10,2,3,2
374768,0,0,1,0,2,0,0,0
374786,252,319,365,398,608,288,158,260
3748,562,417,683,425,826,285,278,571
374819,499,413,713,450,1169,251,237,360
374860,1008,651,1495,1364,2509,605,412,414
374864,62,117,111,160,137,86,54,48
374868,2757,3542,4933,5393,9704,3165,2861,2986
374872,2,7,14,11,18,25,5,7
374875,319,339,601,422,910,218,260,282
374877,14,8,20,21,37,16,12,2
374879,434,511,523,1185,899,542,494,670
374882,339,519,762,850,1176,340,402,469
374887,154,143,279,172,450,153,158,231
374890,7,0,12,5,38,2,0,10
374897,2,4,10,4,6,0,0,3
374899,470,537,674,1277,1007,539,528,653
3749,834,734,1076,785,1265,485,450,720
374900,878,1098,1489,1975,2295,1121,834,990
374907,18,11,20,12,16,20,8,8
374918,0,0,0,0,0,0,0,0
374920,321,202,329,209,362,183,116,150
374928,196,236,250,322,422,237,174,242
374946,35,66,91,73,95,20,48,56
374955,7,4,16,7,18,13,4,13
374969,212,425,593,587,493,239,198,347
374973,5,4,5,2,6,10,5,1
374977,5,7,7,7,36,5,4,0
374986,4624,7352,8421,15075,10762,6301,4749,6667
374987,11,10,24,22,23,16,8,23
375,4531,4788,5295,6995,7614,3943,3308,5288
3750,139,68,84,112,105,74,57,124
375033,58,45,52,48,135,48,39,36
375035,199,322,398,564,485,341,260,432
375056,6452,9697,11616,17124,15371,7784,6338,9821
375057,3691,3554,7700,3687,9885,2315,2684,3818
375061,148,129,234,407,675,143,164,160
3751,1854,3457,3803,5335,3977,2539,2086,3944
375133,157,152,237,280,390,134,38,399
375189,74,52,69,97,140,81,52,64
375190,1260,1573,1885,2235,4059,1363,1101,1008
375196,7,20,29,34,59,18,5,5
3752,1351,1259,1965,1509,2936,1083,1024,1787
375248,8521,8413,11096,12950,17009,7824,6352,7687
375260,59,77,80,85,124,43,39,44
375287,249,338,311,452,525,312,195,224
375295,9,0,23,2,57,15,21,12
375298,69,130,120,187,72,89,99,229
3753,11,12,14,2,11,10,9,2
375307,2,1,9,3,5,7,7,5
375316,106,55,165,115,153,68,45,55
375318,0,0,6,0,0,0,2,0
375323,657,601,840,715,913,422,342,572
375337,33,36,54,63,98,62,54,75
375341,294,260,354,299,526,193,172,286
375346,441,472,610,766,842,384,393,494
375387,11,27,33,55,83,47,33,31
3754,711,606,858,842,914,499,378,797
375444,203,255,263,486,449,310,190,225
375449,3285,3930,5348,4560,6639,3060,2179,4317
375484,475,606,840,733,1087,357,355,475
3755,284,237,430,263,312,86,156,155
375513,404,397,570,799,759,472,314,444
375519,27,24,44,25,46,24,26,39
375567,109,221,299,291,481,231,168,154
375593,2,4,4,5,17,0,3,1
3756,1861,2604,3802,3210,6603,2048,1668,2311
375607,7,6,15,6,30,0,12,12
375611,52,133,123,181,120,125,101,127
375612,1123,1284,2047,2198,3118,1406,807,966
375616,0,4,10,2,8,8,6,0
375686,31,12,26,13,29,17,16,21
375690,7,4,4,0,7,0,2,0
3757,248,273,513,248,604,187,187,331
375704,357,460,642,450,966,298,221,227
375719,39,3,6,6,29,4,0,1
375743,5301,8623,9376,20126,16813,7749,6693,6557
375748,4789,6133,7738,10553,10698,5057,4429,5412
375757,103,157,184,213,322,146,127,126
375759,7,6,16,12,46,1,4,3
375775,386,271,646,273,1293,312,173,242
375790,932,532,1127,625,2028,518,350,409
375791,11,13,33,12,37,5,6,20
3758,40,58,49,49,45,15,22,69
3759,1419,1760,1344,6250,2227,2525,1360,1293
375940,23,8,56,5,46,9,15,9
3760,1890,3887,3695,8027,4031,2963,2626,4874
3761,512,412,682,612,729,307,234,451
376132,2,1,2,1,4,5,2,3
3762,36,55,82,131,115,79,54,62
376267,3137,3895,7349,4893,5595,2822,2405,4237
3763,2578,3420,3686,3901,3052,2408,2143,4810
3764,103,150,151,296,272,161,135,162
376412,0,0,1,8,1,6,0,2
376497,634,538,757,934,1453,537,543,461
3765,3037,3113,5844,5602,4752,3058,1784,3344
3766,5020,6011,7396,11194,12829,4713,4413,3853
376693,53,38,54,101,87,44,31,44
3767,115,132,260,205,251,107,67,139
3768,114,106,354,234,284,55,73,87
376844,0,0,0,0,0,0,0,0
3769,508,493,445,958,758,1236,421,525
376940,4883,5554,6185,10049,11080,6034,4182,5416
377,6943,9312,12194,13295,16102,6801,5765,8790
3770,78,78,105,179,112,89,49,64
377007,0,0,6,0,7,3,2,2
377047,6,1,4,0,5,2,1,2
3772,5,9,6,36,15,4,8,22
3773,795,1151,2384,2127,3317,887,882,826
3775,1233,2684,2055,4033,2747,1773,1272,2346
3776,574,761,963,1411,1874,631,450,663
377630,43,12,38,25,54,14,15,17
377677,118,200,262,294,404,89,116,125
3777,187,220,286,274,325,115,103,124
3778,10764,19353,23397,24587,27124,11931,10715,18720
377841,5,2,8,0,18,1,3,3
3779,11,13,41,35,50,46,29,30
378,1297,2350,2398,4582,3541,1972,1613,2307
3780,746,686,911,806,1554,448,503,553
3781,2282,3843,2900,5622,5476,3595,2957,3570
378108,7,3,10,0,13,2,1,0
3782,4993,6593,6338,8157,10735,4418,5774,4305
3783,18,30,25,50,35,18,17,20
3784,31,23,22,31,31,18,19,25
3785,4466,3411,7635,4000,8390,2656,2723,4514
3786,6109,12622,19791,16193,20184,7902,7061,12681
3787,160,142,405,288,1218,101,73,219
378706,220474,348779,599423,260144,1022028,165595,242436,215830
378708,17,20,24,39,21,20,12,30
3788,102,182,252,302,381,103,85,162
378805,2574,2854,3601,4131,6147,2663,2543,3271
378807,0,0,2,0,1,0,1,0
378825,7,4,4,0,0,0,0,0
378828,0,0,0,0,0,0,0,0
378832,10,1,9,5,11,1,2,4
378881,3,11,31,27,29,13,11,22
378884,59,76,108,151,163,56,58,96
378925,39,46,55,51,219,40,33,78
378938,824740,664934,851067,754433,1367544,703540,469997,683777
378948,0,0,0,0,0,0,0,0
378949,0,0,0,0,0,0,0,0
378950,0,0,0,0,0,0,0,0
378951,0,1,0,0,0,0,0,0
379,68,123,108,284,169,116,62,120
3790,230,404,350,627,357,278,265,355
379013,541,599,593,1124,1182,1203,678,639
379025,1784,1967,2061,3553,3145,2082,1625,1680
3791,800,684,693,1336,1027,775,569,563
3792,0,0,0,2,6,0,10,0
3795,154,167,290,255,427,150,155,208
3796,6196,8524,8690,13776,13331,7470,5893,7367
3797,6817,7358,13878,8114,14994,5233,4177,8094
3798,26464,30630,45971,29540,70174,15200,10709,20558
3799,23641,27046,27803,53079,57198,28992,17272,18445
