Run,Age,alcool,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cause_of_death,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_type,drugs,Experiment,gender,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medication,medication_type,Organism,Ph,Phenotype,Platform,pmi,ReleaseDate,RIN,create_date,version,Sample Name,Smoking,source_name,SRA Study,TISSUE
SRR5956386,NA,NA,RNA-Seq,100,5585383500,PRJNA398031,SAMN07537500,3642187689,NA,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114753,female,GSM2751058,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T22:08:00Z,1,GSM2751058,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956387,NA,NA,RNA-Seq,100,4581357000,PRJNA398031,SAMN07537489,2992261300,NA,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114754,female,GSM2751059,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T22:02:00Z,1,GSM2751059,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956388,NA,NA,RNA-Seq,100,5365788300,PRJNA398031,SAMN07537495,3516158139,NA,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114755,female,GSM2751060,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T22:06:00Z,1,GSM2751060,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956389,NA,NA,RNA-Seq,100,6056975400,PRJNA398031,SAMN07537494,3947941854,NA,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114756,female,GSM2751061,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:34:00Z,1,GSM2751061,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956390,NA,NA,RNA-Seq,100,5212697200,PRJNA398031,SAMN07537504,3408012908,NA,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114757,female,GSM2751062,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:44:00Z,1,GSM2751062,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956391,NA,NA,RNA-Seq,100,3957286500,PRJNA398031,SAMN07537493,2594201280,NA,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114758,female,GSM2751063,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.1,2017-08-22T21:38:00Z,1,GSM2751063,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956392,NA,NA,RNA-Seq,100,4201334200,PRJNA398031,SAMN07537492,2753714192,NA,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114759,female,GSM2751064,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.3,2017-08-22T21:32:00Z,1,GSM2751064,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956393,NA,NA,RNA-Seq,100,4488158400,PRJNA398031,SAMN07537491,2945172173,NA,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114760,female,GSM2751065,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,9.3,2017-08-22T21:33:00Z,1,GSM2751065,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956394,NA,NA,RNA-Seq,100,5548742700,PRJNA398031,SAMN07537490,3653104716,NA,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114761,female,GSM2751066,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,Stress,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:58:00Z,1,GSM2751066,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956395,NA,NA,RNA-Seq,100,6273047300,PRJNA398031,SAMN07537430,4099668356,NA,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114762,male,GSM2751067,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:54:00Z,1,GSM2751067,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956396,NA,NA,RNA-Seq,100,6356008000,PRJNA398031,SAMN07537429,4169245139,NA,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114763,male,GSM2751068,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T21:48:00Z,1,GSM2751068,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956397,NA,NA,RNA-Seq,100,4881945500,PRJNA398031,SAMN07537428,3193116907,NA,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114764,male,GSM2751069,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:54:00Z,1,GSM2751069,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956398,NA,NA,RNA-Seq,100,6461575800,PRJNA398031,SAMN07537427,4232668925,NA,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114765,male,GSM2751070,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.5,2017-08-22T22:06:00Z,1,GSM2751070,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956399,NA,NA,RNA-Seq,100,5127474400,PRJNA398031,SAMN07537426,3315965208,NA,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114766,male,GSM2751071,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:37:00Z,1,GSM2751071,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956400,NA,NA,RNA-Seq,100,4073274600,PRJNA398031,SAMN07537425,2635914192,NA,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114767,male,GSM2751072,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:49:00Z,1,GSM2751072,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956401,NA,NA,RNA-Seq,100,4798613200,PRJNA398031,SAMN07537424,3106502667,NA,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114768,male,GSM2751073,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.5,2017-08-22T21:29:00Z,1,GSM2751073,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956402,NA,NA,RNA-Seq,100,5011218600,PRJNA398031,SAMN07537423,3233237121,NA,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114769,male,GSM2751074,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.5,2017-08-22T21:34:00Z,1,GSM2751074,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956403,NA,NA,RNA-Seq,100,4665829500,PRJNA398031,SAMN07537422,3020099562,NA,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114770,male,GSM2751075,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T21:42:00Z,1,GSM2751075,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956404,NA,NA,RNA-Seq,100,6697985800,PRJNA398031,SAMN07537421,4336661472,NA,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",NA,NA,SRX3114771,male,GSM2751076,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.8,2017-08-22T21:45:00Z,1,GSM2751076,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956405,NA,NA,RNA-Seq,100,4289402600,PRJNA398031,SAMN07537420,2768886702,NA,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114772,female,GSM2751077,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:35:00Z,1,GSM2751077,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956406,NA,NA,RNA-Seq,100,5646506600,PRJNA398031,SAMN07537419,3651784679,NA,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114773,female,GSM2751078,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.3,2017-08-22T21:46:00Z,1,GSM2751078,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956407,NA,NA,RNA-Seq,100,4027314300,PRJNA398031,SAMN07537418,2672832633,NA,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114774,female,GSM2751079,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.8,2017-08-22T21:33:00Z,1,GSM2751079,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956408,NA,NA,RNA-Seq,100,4646003300,PRJNA398031,SAMN07537470,3086876810,NA,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114775,female,GSM2751080,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.4,2017-08-22T21:45:00Z,1,GSM2751080,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956409,NA,NA,RNA-Seq,100,4084010500,PRJNA398031,SAMN07537469,2723025618,NA,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NA,NA,SRX3114776,female,GSM2751081,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,8.9,2017-08-22T21:32:00Z,1,GSM2751081,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956410,NA,NA,RNA-Seq,100,5309458600,PRJNA398031,SAMN07537468,3521616389,NA,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,SRX3114777,female,GSM2751082,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:33:00Z,1,GSM2751082,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956411,NA,NA,RNA-Seq,100,3439910000,PRJNA398031,SAMN07537467,2291529412,NA,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114778,female,GSM2751083,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T21:32:00Z,1,GSM2751083,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956412,NA,NA,RNA-Seq,100,3849070100,PRJNA398031,SAMN07537466,2562642185,NA,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NA,NA,SRX3114779,female,GSM2751084,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.3,2017-08-22T21:36:00Z,1,GSM2751084,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956413,NA,NA,RNA-Seq,100,3221434900,PRJNA398031,SAMN07537465,2134085797,NA,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NA,NA,SRX3114780,female,GSM2751085,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9,2017-08-22T21:40:00Z,1,GSM2751085,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
SRR5956414,NA,NA,RNA-Seq,100,6858831200,PRJNA398031,SAMN07537464,4543143632,NA,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",NA,NA,SRX3114781,female,GSM2751086,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,NA,NA,Mus musculus,NA,CTRL,ILLUMINA,NA,2017-08-23T00:00:00Z,9.2,2017-08-22T22:02:00Z,1,GSM2751086,NA,Nucleus Accumbens (Nac),SRP115956,Nucleus Accumbens (Nac)
