Geneid,featureCounts on data 240: Counts_HISAT2 on data 12 and data 11: aligned reads (BAM),featureCounts on data 246: Counts_HISAT2 on data 18 and data 17: aligned reads (BAM),featureCounts on data 248: Counts_HISAT2 on data 20 and data 19: aligned reads (BAM)
442229,0,0,0
442245,87,21,48
442247,2,2,0
442319,719,463,472
442361,12,0,0
442388,2,0,0
442421,19,38,27
442425,0,0,0
442444,0,4,0
442454,51,70,36
442459,1,6,4
442497,47,4,2
442523,209,138,194
442524,41,43,37
442578,717,189,300
442582,246,344,192
442590,107,144,116
442720,5,5,0
442721,70,5,6
442862,0,0,0
442867,0,0,0
442868,0,0,0
442890,0,0,0
442891,0,0,0
442892,0,1,0
442893,8,4,10
442894,6,4,1
442895,6,5,3
442896,0,1,0
442897,1,0,0
442898,6,5,0
442899,4,4,2
442900,2,0,1
442901,0,0,0
442902,1,0,0
442903,3,5,1
442904,13,5,13
442905,2,2,0
442906,0,0,0
442907,0,0,0
442908,4,0,5
442909,2,2,0
442910,0,0,1
442911,0,0,1
442912,1,0,1
442913,0,2,3
442914,0,3,2
442915,17,1,9
442916,0,0,0
442917,0,0,0
442918,0,0,0
442919,2,1,4
442920,0,0,0
443,2416,601,582
4430,1151,2661,1117
4435,73,106,172
4436,2578,2730,2645
4437,2725,2419,2269
4438,93,71,73
4439,0,0,0
444,12966,8864,9358
4440,575,234,152
444882,93,126,86
445,741,878,1045
445328,10,8,4
445329,0,0,0
445347,15,6,14
445372,0,0,0
445571,87,101,106
445577,163,146,206
445582,93,0,3
445815,17,10,7
4477,0,0,0
4478,7451,2122,2316
4481,396,203,162
4482,1609,1901,1760
4485,396,158,138
4486,27,26,24
4487,380,97,42
4488,39,18,31
448831,0,0,0
448834,5,0,0
448835,0,0,0
4489,11,4,4
4490,20,0,30
4493,1421,838,761
4494,526,319,260
449491,0,0,0
449492,0,0,0
449493,0,0,0
4495,256,358,185
449520,18,5,25
4496,44,66,61
4498,3,0,0
4499,345,287,207
4500,47,33,31
4501,400,183,149
4502,1418,583,565
4504,5957,4881,4814
4507,1337,761,707
4508,62883,32012,27272
4509,24557,14858,11511
4511,90,133,72
4512,567298,482754,439286
4513,107929,76579,62372
4514,154510,156973,145164
4515,104,50,54
4519,79516,44840,41397
4520,1664,678,789
4521,142,44,82
4522,3239,2211,2458
4524,1208,1062,923
4528,2648,1925,2055
4534,1988,943,1157
4535,49815,30687,24291
4536,47780,28064,21219
4537,51841,33242,30076
4538,143092,56298,62845
4539,11374,6120,5625
4540,75185,39564,38231
4541,16070,8804,7621
4542,523,205,169
4543,34,29,30
4544,134,16,44
4547,544,85,96
4548,8035,5870,5511
4549,1373,1257,2882
4550,28918,10683,19069
4552,2091,1243,1444
4553,10,25,9
4555,5,7,5
4556,67,40,33
4558,2550,3478,1808
4563,62,37,40
4564,48,21,27
4565,77,57,40
4566,32,21,27
4567,3566,3328,2304
4568,28,21,28
4569,321,473,333
4570,51,114,52
4571,873,750,351
4572,21,32,19
4573,16,12,16
4574,8,5,2
4575,26,32,35
4576,30,37,19
4577,965,972,843
4578,24,13,14
4579,110,134,76
4580,180,113,88
4582,49,23,17
4583,0,4,2
4584,11,22,6
4585,0,0,0
4586,13,16,0
4588,0,1,0
4589,0,0,0
4591,7938,13167,12714
4593,2940,46,105
4594,2956,2568,2957
4595,431,222,182
4597,763,708,736
4598,230,222,220
4599,3145,1497,1624
460,7464,9919,10350
4600,271,117,105
4601,6733,3378,3110
4602,1255,93,94
4603,592,259,326
4604,2435,1305,1938
4605,4,2,0
4606,4,28,9
4607,11,8,4
4608,73,70,27
4609,146,105,72
4610,80,81,109
4613,260,123,154
4615,207,59,70
4616,352,306,249
4617,0,0,0
4618,0,2,0
4619,5,10,9
462,23,4,6
4620,1,6,4
4621,723,389,362
4622,10,13,9
4624,34,6,6
4625,301,135,245
4626,4,7,4
4627,8792,5632,4693
4628,13352,17763,18702
4629,0,10,4
463,3820,1538,1774
4632,7,2,5
4633,0,0,0
4634,82,20,37
4635,0,1,1
4636,280,181,160
4637,7277,4869,5341
4638,8382,3687,3022
4640,33,13,16
4641,539,345,256
4642,2594,1116,1251
4643,5989,1121,967
4644,26490,51632,47151
4645,1419,1644,1151
4646,11586,6376,6472
4647,891,383,348
4648,52,30,23
4649,12817,12930,13820
4650,6030,1741,1505
4651,13303,5835,5322
4653,8,10,0
4654,2,2,2
4656,4,8,1
4659,11453,13958,13250
466,1135,662,672
4660,16657,10604,9940
4661,10,7,11
4664,5335,4005,4328
4665,782,688,759
4666,14476,10600,11891
4668,862,370,343
4669,279,98,137
467,385,190,58
4670,4959,2677,2984
4671,7,3,0
4673,24113,17069,18943
4674,3552,8923,7923
4675,6657,11721,12491
4676,118,88,197
4677,8487,8384,8304
4678,7128,2967,2284
468,4434,4246,3853
4680,19,3,2
4681,22,21,19
4682,304,189,191
4683,5559,3741,4221
4684,29284,22382,27930
4685,14634,15207,20610
4686,4805,2741,3011
4688,297,120,119
4689,32,7,10
4690,1299,881,999
4691,23694,12617,13735
4692,1976,1595,1934
4693,814,548,878
4694,2305,2101,1899
4695,517,496,505
4696,2,0,2
4697,2513,3939,3752
4698,6922,8126,9976
47,4743,4307,5039
4700,0,0,0
4701,458,433,376
4702,1242,1247,1234
4703,3207,1056,778
4704,1388,1428,1455
4705,5661,5443,5091
4706,1382,1748,1961
4707,1386,1395,1631
4708,1324,1308,1240
4709,1043,924,896
471,1426,996,909
4710,904,810,715
4711,2168,2270,2352
4712,543,638,745
4713,1059,952,1025
4714,3289,3941,3928
4715,2806,2867,2773
4716,2286,1887,1931
4717,951,796,731
4718,620,935,1149
4719,10450,11212,11303
472,15675,8200,8009
4720,4059,3854,3893
4722,1268,1230,1195
4723,4726,4776,4817
4724,1571,1725,1628
4725,3600,4212,4642
4726,1052,687,709
4728,545,567,531
4729,2107,2458,2507
473,10116,8901,8490
4731,1339,1115,910
4733,1780,1522,1611
4734,903,436,487
4735,16730,9514,8799
4736,3778,2901,3089
4738,411,658,541
4739,1018,781,758
474,0,0,0
4741,5224,15599,9596
474148,0,0,0
474149,0,0,0
474150,0,0,0
474151,0,0,0
474152,0,0,0
474170,24,7,21
474338,183,110,134
474343,98,92,83
474344,451,269,291
474354,257,9,14
474381,0,0,0
474382,0,0,0
474383,2,0,0
474384,3,8,5
4744,1345,3861,2575
4745,650,2105,2139
4747,10387,36508,29481
475,344,316,246
4750,8027,3806,4016
4751,138,88,45
4752,1364,436,433
4753,8527,14074,17080
4756,9497,4274,4446
4758,0,0,0
4759,0,0,0
476,11872,21922,16952
4760,66,173,201
4761,532,952,994
4762,3,0,0
4763,17372,16994,17072
477,49917,34609,29703
4771,3989,4724,3952
4772,467,74,81
4773,1778,207,288
4774,17488,6928,9029
4775,2914,1528,1321
4776,677,428,400
4778,14,2,2
4779,11276,9415,9963
478,9470,20089,21167
4780,3863,1515,1640
4781,12858,8483,10010
4782,3212,2105,1221
4783,404,373,371
4784,6616,3280,3276
479,31,16,7
4790,1732,976,807
4791,203,87,72
4792,1113,714,571
4793,513,303,279
4794,189,171,226
4795,0,0,2
4796,105,125,99
4798,1477,1062,861
4799,4008,3419,2798
48,2390,1914,1614
480,65,37,21
4800,3375,1698,2149
4801,3182,2532,2749
4802,1440,1180,1021
4803,15,11,24
4804,77,23,225
4807,31,27,25
4808,169,44,91
4809,2809,2836,2927
481,14017,23597,23611
4810,1625,1500,1247
4811,450,321,373
4814,403,234,175
4815,294,82,72
4817,657,570,458
4818,11,4,4
482,8121,6435,4703
4820,19520,11751,9307
4821,484,221,157
4824,147,59,38
4825,53,8,2
4826,11601,2162,3597
4828,130,32,48
4829,129,23,37
483,1535,2061,1924
4830,445,660,698
4831,25,45,32
4832,252,156,142
4833,887,487,490
4835,824,1226,867
4836,5705,5626,5963
4837,26,55,28
4838,35,31,20
4839,609,496,437
4841,7426,4769,5390
4842,1703,1697,1435
4843,164,199,115
4846,75,69,54
4848,3918,2764,2697
4849,62,58,15
4850,4187,2785,3012
4851,2976,950,859
4852,1115,748,756
4853,9255,4567,3660
4854,416,371,225
4855,0,0,0
4856,321,737,1104
4857,3567,4404,4091
4858,1706,2126,2392
486,4,3,0
4860,562,225,292
4861,42,145,74
4862,1676,1883,1540
4863,2789,1991,2056
4864,4943,1683,1820
4867,2737,508,593
4868,12,26,29
4869,7793,5261,6318
487,82,23,10
4878,33,16,23
4879,12,0,1
488,14210,22247,21850
4880,28,78,40
4881,33,38,24
4882,3003,1913,1912
4883,101,258,162
4884,4683,10508,13053
4885,433,1137,1315
4886,877,1343,1667
4887,141,157,225
4888,710,275,295
4889,133,227,254
489,69,40,45
4891,4141,2509,3008
4892,101,61,150
4893,2373,1754,2428
4897,19446,30731,33277
4898,6221,5517,5446
4899,791,510,505
49,4,4,1
490,17297,36797,33049
4900,4610,10815,7610
4901,115,60,84
4902,6,2,0
4904,8320,3092,3428
4905,37,43,39
4907,1395,1141,1198
4908,2,0,2
4909,2,0,0
491,9822,26560,15345
4913,155,179,191
4914,37,8,22
4915,88636,66469,79547
4916,3971,4928,4706
4917,41,34,28
4919,548,166,79
492,1951,3637,3207
4920,609,66,46
4921,4668,1200,1999
4922,613,18,16
4923,44,50,42
492303,161,96,83
492307,3,4,0
492311,4616,3839,4772
4924,2141,2064,2239
4925,3148,2050,2236
4926,10046,4542,4038
4927,1146,772,789
4928,4433,2826,2810
4929,249,384,349
493,17598,16963,25345
4931,1402,862,798
4935,196,81,102
493753,1612,1329,1442
493754,1031,960,903
4938,657,203,151
493812,1348,799,1129
493829,22,22,18
493856,822,960,861
493860,26,13,44
493861,281,220,224
493869,187,17,13
4939,635,238,191
493900,123,99,46
493901,0,0,0
493911,155,104,129
493913,0,0,0
4940,342,145,155
494115,2771,1640,2061
494118,0,0,0
494119,0,0,0
494127,8,12,17
494141,0,2,4
494143,135,115,136
494188,4,1,4
494197,0,0,0
4942,5129,6100,6783
4943,448,535,596
494323,2,2,1
494324,0,0,0
494325,0,4,1
494326,0,0,0
494327,0,0,0
494328,0,0,1
494329,2,4,4
494330,2,1,0
494331,3,2,2
494332,2,0,3
494333,0,0,0
494334,0,0,0
494335,1,1,0
494336,0,0,0
494337,2,0,1
494470,1089,1327,1251
494513,275,196,194
494514,45,11,20
494551,2,0,0
494558,0,5,4
4946,4419,5678,5979
4947,2020,1590,1764
4948,245,112,184
495,4,15,0
4951,2,0,0
4952,2974,3121,3674
4953,2203,1228,1341
4956,10,14,6
4957,3737,1524,1112
4958,262,230,151
496,174,4,3
4967,5166,4042,4459
4968,622,534,439
4969,342,246,180
497048,2,0,0
497049,0,0,0
497189,6,2,1
497190,108,16,13
497258,487,228,211
497259,4,6,11
4973,904,532,461
4974,4001,3458,4474
4975,8,4,4
4976,9785,12884,13785
497634,0,1,0
497661,20,8,21
4978,4607,10614,12633
498,10945,13686,13619
4982,469,77,49
4983,5024,4037,4445
4985,45,95,56
49854,2035,1688,1813
49855,7089,5109,5173
49856,311,184,140
4986,356,503,741
49860,0,2,0
49861,319,177,212
4987,36,98,67
4988,1931,2949,3223
4990,0,2,4
4991,4,4,1
4992,23,27,30
4993,37,17,20
4994,14,28,13
4995,18,20,8
4998,33,20,18
4999,1899,1444,1459
50,6876,5228,5126
5000,2746,3323,3707
5001,1146,1115,1183
5002,0,16,4
5003,1,4,0
5004,0,0,0
5005,9,4,0
5007,4194,3754,3990
5008,11,4,10
5009,18,16,7
501,6663,2967,2957
5010,3528,600,819
5013,169,66,41
5015,104,6,2
5016,225,269,172
5017,2,8,0
5018,1334,1067,941
5019,5977,9272,11152
5020,0,4,0
5021,335,238,424
5023,78,30,8
5024,10,6,21
5025,442,226,272
5026,53,95,106
5027,3498,1317,1284
5028,1704,587,683
5029,140,20,31
5030,20,7,2
5031,55,55,28
5032,48,46,17
5033,3226,1219,1431
5034,3384,2561,2515
503497,0,0,0
503519,2,0,0
503538,86,63,39
503542,432,750,680
503569,13,25,23
503582,13,38,19
5036,3282,2740,2793
503614,0,0,0
503618,0,0,0
503637,17,43,2
503639,27,51,11
503640,107,91,50
503645,27,5,6
503693,378,224,226
5037,20313,23558,22298
503834,3,0,0
503835,1,4,1
503841,0,0,0
504180,0,0,0
5042,130,53,84
5045,988,914,1146
5046,3040,763,697
5047,1,0,0
5048,17722,23457,26926
50484,2733,2560,2703
50485,842,538,516
50486,134,58,83
50487,3,6,4
50488,7109,5225,5871
50489,8,4,1
5049,8459,8493,9561
5050,257,243,292
50506,14,7,1
50507,131,189,100
50508,2,1,0
50509,1087,2103,684
5051,670,248,270
50511,233,170,232
50512,1988,2615,2916
50514,200,33,42
50515,2080,1164,1358
5052,8604,5672,6128
5053,245,287,113
5054,138,72,24
5055,0,8,4
5058,6993,15703,13229
506,8918,11255,10624
50604,0,0,0
50613,39,41,26
50614,545,1219,1044
50615,32,6,18
50616,3,4,6
50617,41,22,55
50618,6738,4846,4959
50619,323,98,106
5062,5873,2778,3207
50624,0,0,0
50626,1142,856,807
50628,488,307,324
5063,11322,20468,28677
50632,2060,1729,2331
50636,94,50,48
5064,3452,3660,3347
50640,4697,4247,4698
50649,5919,5491,4601
50650,1805,3298,3083
50651,167,329,286
50652,691,216,229
5066,6702,8847,9053
5067,4634,3307,4467
50674,0,4,0
5068,0,0,0
5069,318,315,187
50700,4,0,0
5071,1114,1632,1482
50717,9227,6373,6211
5073,7,4,12
5074,1949,697,583
5075,2,3,2
5076,4,2,3
5077,32,42,52
5078,0,0,0
5079,16,4,15
5080,3795,1485,1596
50801,52,106,120
50804,7086,5784,5543
50805,1,0,0
50807,4886,5366,5482
50808,2541,1306,1678
50809,11160,8269,8250
5081,26,139,33
50810,6252,7165,7991
50813,2231,2588,2664
50814,663,487,597
5082,1677,1047,1194
5083,1,2,0
50831,182,117,104
50832,111,123,87
50833,0,0,0
50834,0,2,4
50835,0,0,0
50836,0,0,0
50837,0,0,0
50838,0,0,0
50839,0,0,0
50840,0,4,2
50846,2,6,0
50848,1099,241,279
50852,6,15,2
50853,352,382,252
50854,0,0,0
50855,147,260,186
50856,187,128,90
50858,0,0,0
50859,11907,6188,6394
50861,3535,5537,5865
50862,8016,5805,5861
50863,4897,6087,6064
50865,669,284,341
5087,11506,8956,11298
5089,6,6,2
509,2784,3023,3306
5090,1229,321,476
5091,1960,1371,1134
5092,408,322,363
5093,3260,2520,2608
50937,1536,957,900
50939,410,301,217
5094,3970,2822,2810
50940,353,162,274
50943,47,24,14
50944,2983,3649,3006
50945,10,0,0
5095,2491,2168,2129
5096,1524,1039,1120
50964,0,2,0
5097,3729,4455,4724
5098,6544,3296,3859
5099,4082,9906,11004
50999,2327,1674,2289
51,5493,4256,4937
5100,558,931,1207
51000,954,603,592
51001,598,410,424
51002,549,392,397
51003,150,196,238
51004,348,256,270
51005,163,182,115
51006,861,593,480
51008,1948,1023,1040
51009,1024,650,813
5101,41521,28963,31781
51010,1196,857,900
51011,943,671,640
51012,850,450,575
51013,587,432,340
51014,3692,1964,2633
51015,747,446,817
51016,201,164,155
51018,1726,1467,2018
51019,1705,1160,1346
51020,3221,2281,2308
51021,2388,2311,2181
51022,277,436,492
51023,402,335,342
51024,1802,1304,1244
51025,0,0,1
51026,1347,1452,1736
51027,276,185,184
51028,2858,4184,3608
51029,1425,821,896
51030,993,506,594
51031,2370,2180,2752
51032,28,51,21
51035,2490,1369,1514
5104,69,8,3
51042,143,143,132
51043,492,247,156
51046,6496,14589,16558
5105,22,7,8
51050,419,334,271
51052,0,0,0
51053,460,301,262
51054,161,120,153
51056,2756,1478,1594
51057,1911,1366,1220
51058,388,219,192
51059,2430,2795,3109
5106,179,125,122
51060,1240,918,1093
51061,815,605,521
51062,3443,5067,5650
51063,146,165,145
51065,1739,881,1116
51066,12,28,18
51067,612,551,463
51068,2760,2027,2418
51069,495,411,457
51070,540,429,482
51071,1016,468,458
51072,1459,1267,1394
51073,367,368,329
51074,847,398,373
51075,1968,1709,1698
51076,659,394,386
51077,1211,556,582
51078,1026,928,963
51079,2548,2557,2660
5108,35739,21563,23044
51081,1078,993,997
51082,858,873,1047
51083,0,1,2
51084,2499,1339,1253
51085,374,427,250
51086,23,6,7
51087,26,41,23
51088,8391,5740,5919
51090,1608,456,632
51091,1170,615,592
51092,1149,810,608
51093,352,175,141
51094,3220,2219,2596
51095,1105,1040,1112
51096,1393,1267,1362
51097,3479,2326,2653
51098,677,435,421
51099,1422,981,1174
5110,3767,6671,7733
51100,6637,3605,4692
51101,2886,2153,2892
51102,530,641,567
51103,654,778,695
51104,2312,1220,1273
51105,5957,5682,5796
51106,732,663,594
51107,1109,660,789
51108,3851,3518,3576
51109,3413,3756,4073
5111,1099,472,642
51110,347,190,192
51111,6546,4283,4281
51112,432,383,317
51114,4829,1608,1755
51115,2935,2058,1916
51116,261,176,178
51117,587,311,279
51118,1151,989,1046
51119,6599,4481,5445
51121,436,338,408
51122,1377,1002,1334
51123,2491,1958,2689
51124,762,759,898
51125,4510,1788,1908
51126,1610,1523,1539
51127,775,515,405
51128,4793,3303,3689
51129,338,128,203
51130,163,168,125
51131,1263,617,677
51132,10632,11438,15315
51133,4478,2460,2661
51134,3735,1373,1514
51135,708,283,326
51136,272,183,174
51138,2238,2736,3238
51141,1194,1457,1959
51142,2802,2581,2774
51143,2233,3158,3218
51144,4401,2627,3825
51145,2,0,0
51146,25,3,0
51147,1209,1009,945
51148,13539,3741,3934
51149,567,323,308
51150,2253,1768,1602
51151,55,39,36
51154,798,1136,1025
51155,871,1148,1506
51156,0,0,0
51157,504,335,272
5116,7362,7552,4606
51160,729,589,611
51161,714,809,625
51162,152,432,316
51163,785,496,554
51164,5169,3870,4609
51166,832,634,506
51167,721,605,528
51168,166,208,219
51170,907,836,886
51171,677,218,237
51172,389,588,375
51174,466,254,212
51175,1309,1063,990
51176,591,287,274
51177,1250,1147,1065
51179,16,67,37
5118,50,19,14
51181,561,527,414
51182,1855,1654,1771
51184,504,436,435
51185,4135,3722,4422
51186,1995,985,1292
51187,2263,2577,3041
51188,220,194,276
5119,964,891,1169
51191,1182,250,365
51192,72,55,60
51193,1519,1311,1458
51194,1294,1162,1200
51195,1389,2133,2004
51196,5695,1554,1208
51198,0,0,0
51199,19083,9646,9631
51200,12,10,12
51201,4042,2200,2519
51202,1629,1084,1107
51203,114,35,53
51204,573,485,423
51205,673,444,348
51206,0,0,3
51207,0,2,6
51208,268,62,49
51209,1216,1730,2252
5121,1399,733,624
51213,0,0,4
51214,0,6,0
51218,861,846,820
5122,1585,4840,4549
51222,397,305,262
51224,77,31,10
51225,278,68,74
51226,129,79,36
51227,317,183,221
51228,2450,692,865
51230,4257,3813,4280
51231,590,385,390
51232,5076,4866,6949
51233,93,80,55
51234,1796,1779,2009
51236,281,236,220
51237,8,0,0
51239,211,226,195
51241,187,106,151
51244,1720,1048,970
51246,1278,1168,1317
51247,5829,4293,4571
51248,1146,1159,1250
51249,559,432,408
5125,1427,1002,1408
51250,771,566,645
51251,712,659,662
51252,124,64,59
51253,740,733,768
51255,619,401,495
51256,230,217,241
51257,721,876,754
51258,2081,1683,1721
51259,276,142,146
5126,2016,4223,4827
51260,685,349,391
51263,2230,2452,2561
51264,618,588,557
51265,1511,855,831
51266,6,2,2
51267,35,29,18
51268,823,383,451
5127,2329,3561,2789
51270,2,0,0
51271,2294,1679,1532
51272,535,379,344
51274,3545,1753,1968
51275,710,591,696
51276,494,332,341
51277,1610,1545,1562
51278,498,374,462
51279,392,242,258
5128,8162,5749,8325
51280,9955,5684,8378
51281,1258,375,257
51282,249,183,243
51283,11,10,8
51284,574,142,220
51285,647,129,269
51286,1714,2847,2532
51287,513,316,282
51289,0,0,0
5129,3958,1046,1099
51290,2155,2013,2258
51291,341,189,232
51292,2697,2197,2138
51293,173,130,116
51294,299,258,243
51295,650,742,699
51296,215,81,70
51297,0,1,0
51298,5,22,0
51299,2043,7296,5933
513,665,665,628
5130,2011,1245,1090
51300,2838,1834,1890
51301,260,811,804
51302,339,72,69
51303,211,524,392
51304,2529,1753,1751
51305,141,504,373
51306,6508,7016,6813
51307,2295,2099,2169
51308,1982,2392,2167
51309,1613,1642,2059
51310,6411,5313,6103
51311,76,52,27
51312,1513,1077,853
51313,7208,3210,3675
51314,57,1,3
51315,1964,782,878
51316,36,11,4
51317,5546,4551,4162
51318,3240,3300,3866
51319,2249,1753,1880
5132,142,165,141
51320,1814,1049,1201
51321,4687,3498,2769
51322,13358,11418,11999
51324,1069,692,771
51326,38,7,10
51327,2,0,0
51329,3354,2811,2697
5133,0,0,0
51330,48,27,6
51332,185,204,69
51333,233,193,215
51334,174,217,265
51335,10654,15150,14403
51337,183,224,198
51338,190,46,74
51339,332,482,729
5134,1408,1216,1342
51340,3594,2452,2688
51341,2942,3434,2623
51343,952,731,768
51347,7826,6311,6107
51348,12,24,10
51350,0,0,2
51351,3105,1611,1662
51352,0,0,0
5136,2726,5098,6759
51360,1038,1133,1024
51361,1808,2883,3074
51362,2092,2517,2444
51363,2275,2417,1898
51364,2092,63,48
51365,55,19,20
51366,17633,12027,11297
51367,329,220,197
51368,558,481,453
5137,11889,4996,5925
51371,1334,1358,1617
51372,2255,1604,1961
51373,396,425,415
51374,829,430,381
51375,734,500,800
51377,3101,3760,4005
51378,15,4,11
51379,1658,1509,1387
5138,4306,6612,7981
51380,1372,846,684
51382,2938,3869,4322
51384,146,127,174
51385,1637,998,858
51386,6009,4602,4866
51388,461,397,459
51389,1927,1270,1579
5139,837,751,680
51390,3032,2445,2593
51393,199,179,196
51397,1033,863,730
51398,196,156,156
51399,537,517,542
514,267,265,314
5140,916,1635,1199
51400,2644,3774,4041
51406,1699,1197,1284
51409,859,356,288
5141,1257,1519,1344
51411,645,292,284
51412,455,817,778
5142,6641,4105,4108
51421,3263,1227,1143
51422,2236,1598,1671
51426,3472,2089,2167
51427,1600,990,931
51428,1757,1786,1714
51429,2909,1760,1786
5143,173,329,201
51430,5267,3287,3869
51433,4360,2762,3217
51434,2104,2085,1966
51435,2106,2113,1702
51438,0,0,0
51439,3891,2876,3810
5144,4862,7138,8459
51440,11509,16405,26125
51441,1643,1501,1756
51442,0,0,0
51444,1409,917,1004
51447,2225,1706,1824
51449,4270,5017,5106
5145,23,56,24
51450,14,2,2
51451,1150,1210,1295
51454,1403,1093,2216
51455,4317,3062,3136
51458,142,128,131
5146,57,30,42
51460,1596,1029,1074
51463,161,134,130
51465,2097,1740,2176
51466,3652,4182,3565
5147,643,424,492
51471,41,33,22
51473,2784,250,303
51474,1810,984,927
51475,0,0,0
51477,378,150,165
51478,242,177,201
51479,6548,3191,2899
5148,2,6,0
51480,0,0,0
51481,2,2,0
5149,6,2,4
51490,884,515,419
51491,224,216,267
51493,2388,1619,1903
51495,9129,8026,10084
51496,2664,2232,2334
51497,2181,1342,1240
51499,495,361,464
515,3519,3665,3750
5150,1605,1521,1073
51501,686,636,661
51503,2680,1945,2273
51504,1454,1283,1224
51506,2235,1154,1303
51507,4919,3501,3393
5151,8767,3008,2649
51510,4518,3801,4251
51512,13,4,2
51513,19,19,7
51514,13,29,19
51517,1007,1182,1155
5152,878,404,399
51520,9335,7185,7464
51522,1184,895,954
51523,2573,1975,2024
51524,955,366,294
51526,1319,1018,994
51527,753,924,1138
51528,2030,1284,1698
51529,370,293,330
5153,1109,1443,1297
51530,358,359,369
51531,1767,1089,833
51533,496,260,278
51534,2528,2648,3351
51535,2693,2776,2902
51537,56,70,58
51538,3187,3539,4115
5154,1536,989,1037
51540,19,7,6
51542,2429,1578,1634
51545,66,43,42
51547,366,233,150
51548,101,97,93
5155,392,363,474
51550,665,478,481
51552,5025,4750,5525
51554,145,65,81
51555,12693,17120,17073
51557,10,33,31
51559,3151,5660,6338
5156,7047,4337,5426
51560,9215,20711,22589
51561,33,14,10
51562,951,640,716
51564,894,625,351
51566,7174,6932,7046
51567,1897,1729,1737
51569,4779,3624,5236
5157,52,24,32
51571,3890,5476,4567
51573,2522,2784,2508
51574,4707,1923,2269
51575,4903,2539,2733
5158,3750,926,866
51582,12229,11153,12905
51585,7613,4464,4403
51586,1397,1201,877
51588,772,543,448
5159,1590,1721,1145
51592,8749,7939,8437
51593,2787,1410,1392
51594,10044,8420,8846
51596,9,0,0
51599,246,183,121
516,584,605,671
5160,3329,3715,3739
51601,387,198,196
51602,2586,1963,2268
51603,929,818,882
51604,1215,715,727
51605,933,844,875
51606,3201,5014,6199
51608,619,528,549
5161,2,0,0
51611,1050,477,652
51614,2191,1289,1321
51616,2382,1818,2472
51617,11014,13224,19949
51619,1146,981,951
5162,2513,2311,2229
51621,121,348,177
51622,670,633,582
51626,2743,1607,1707
51629,595,362,353
5163,893,1037,1078
51631,421,302,316
51633,1833,1363,1563
51634,1061,855,878
51635,1903,1832,1918
51637,2402,1696,1847
51639,884,591,559
5164,1256,1141,1246
51642,781,541,468
51643,1881,915,1092
51645,1156,931,1029
51646,5599,6295,6099
51647,424,234,282
51649,1672,1947,2037
5165,5935,11317,10494
51650,743,681,773
51651,442,486,495
51652,144,166,179
51654,1151,1068,1057
51655,570,500,446
51657,533,256,265
51659,122,54,41
5166,4449,1245,1290
51660,2870,1663,1598
51661,171,140,104
51663,11197,8403,9600
51665,2841,2308,2602
51666,163,94,42
51667,3563,2319,2510
51668,551,352,395
51669,20706,20500,26707
5167,381,125,145
51673,16595,1099,2178
51676,4,4,12
51678,6979,7654,10178
5168,18146,3506,4207
51684,688,465,427
51686,55,60,68
5169,152,65,63
51690,232,148,130
51691,3423,2688,3449
51692,1455,969,955
51693,904,833,913
51696,3115,3181,3574
51699,1492,1467,1820
517,1830,1169,1169
5170,2737,2935,3244
51700,570,133,225
51701,4714,9021,6915
51702,1,1,0
51703,358,251,249
51704,15760,5751,6761
51705,220,229,179
51706,1322,910,989
51710,1527,553,493
51714,4644,3536,4572
51715,3012,1754,2351
51716,0,0,1
51719,6923,8369,8409
5172,340,741,977
51720,2399,1881,1699
51725,113,498,287
51726,1854,1130,1416
51727,5084,4203,5035
51728,296,331,337
51729,3794,3103,3195
5173,2085,115,448
51733,24,8,4
51734,102,73,56
51735,7700,5081,5209
51738,43,28,7
5174,73,52,47
51741,2152,854,806
51742,10525,6573,6398
51744,26,19,28
51747,17018,8654,8272
5175,1492,764,1009
51750,16,14,9
51751,48,96,54
51752,3319,1993,2221
51754,1003,852,827
51755,5186,3603,3008
51759,3457,2404,2561
5176,496,1550,902
51760,1686,1576,2161
51761,3769,8744,10517
51762,3027,2572,4313
51763,701,625,780
51764,5,22,13
51765,183,76,52
51768,2815,2263,2426
51773,12694,9612,10437
51776,3321,1109,1173
51778,92,77,63
5178,22944,30976,32883
51780,9180,5561,4908
5179,1953,213,204
518,1422,1924,2002
51802,0,0,0
51804,273,104,91
51805,276,423,393
51806,0,0,0
51807,708,1178,1222
51808,3731,3291,3169
51809,1565,945,1046
51816,1057,331,357
5184,1104,499,605
5187,1885,1147,789
5188,1343,1253,1766
5189,4137,2906,2758
5190,1076,562,651
5191,375,259,274
5192,504,366,348
5193,624,341,429
5194,1647,1257,1433
5195,467,446,404
5196,0,0,0
5197,2,3,0
5198,672,621,518
5199,50,36,31
52,2961,3489,3922
5201,1490,1556,1633
5202,1648,1094,1368
5203,872,1099,1335
5204,6008,4006,4517
5205,548,631,440
5207,110,69,61
5208,11979,4198,3989
5209,8779,3772,3937
521,2220,1509,1550
5210,336,193,205
5211,3293,2206,2302
5212,18,27,74
5213,5736,7721,7474
5214,3487,6203,5585
5216,1492,1013,1065
5217,8634,12681,13734
5218,4886,11702,9651
522,1410,1176,1336
5222,19,3,15
5223,1046,1539,1553
5224,674,166,164
5225,2,1,0
5226,2260,2039,2411
5228,23,37,22
5229,4186,2283,2613
523,10092,20143,25538
5230,5108,8532,8033
5232,0,1,0
5236,2167,1557,1565
